"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","114.25","123.46","136.08","113.58","4.45B","-7.52%"
"06/01/2024","123.54","113.62","140.76","112.00","7.44B","12.69%"
"05/01/2024","109.63","85.08","115.82","81.25","9.65B","26.89%"
"04/01/2024","86.40","90.30","92.22","75.61","10.07B","-4.38%"
"03/01/2024","90.36","80.00","97.40","79.44","12.15B","14.22%"
"02/01/2024","79.11","62.10","82.39","61.65","11.08B","28.57%"
"01/01/2024","61.53","49.24","63.49","47.32","9.71B","24.25%"
"12/01/2023","49.52","46.52","50.43","45.01","7.41B","5.88%"
"11/01/2023","46.77","40.88","50.55","40.87","9.15B","14.69%"
"10/01/2023","40.78","44.03","47.61","39.23","10.14B","-6.25%"
"09/01/2023","43.50","49.76","49.80","40.98","8.58B","-11.85%"
"08/01/2023","49.35","46.46","50.27","40.31","13.64B","5.61%"
"07/01/2023","46.73","42.52","48.09","41.35","8.71B","10.47%"
"06/01/2023","42.30","38.49","43.99","37.36","10.53B","11.82%"
"05/01/2023","37.83","27.84","41.94","27.24","11.70B","36.32%"
"04/01/2023","27.75","27.51","28.11","26.22","7.44B","-0.11%"
"03/01/2023","27.78","23.19","27.83","22.30","11.27B","19.64%"
"02/01/2023","23.22","19.69","23.89","19.61","10.39B","18.83%"
"01/01/2023","19.54","14.85","20.63","14.03","9.45B","33.74%"
"12/01/2022","14.61","17.00","18.79","13.88","8.95B","-13.65%"
"11/01/2022","16.92","13.81","17.00","12.96","10.60B","25.33%"
"10/01/2022","13.50","12.35","13.85","10.81","12.55B","11.20%"
"09/01/2022","12.14","14.21","14.55","11.95","13.13B","-19.55%"
"08/01/2022","15.09","18.18","19.27","14.96","12.07B","-16.91%"
"07/01/2022","18.16","14.90","18.24","14.05","10.57B","19.79%"
"06/01/2022","15.16","18.72","19.62","14.86","10.56B","-18.80%"
"05/01/2022","18.67","18.54","20.40","15.57","13.83B","0.65%"
"04/01/2022","18.55","27.38","27.56","18.29","11.11B","-32.03%"
"03/01/2022","27.29","24.29","28.95","20.65","11.65B","11.89%"
"02/01/2022","24.39","25.10","26.92","20.89","10.65B","-0.41%"
"01/01/2022","24.49","29.82","30.71","20.89","10.68B","-16.73%"
"12/01/2021","29.41","33.22","33.29","27.14","11.06B","-10.01%"
"11/01/2021","32.68","25.65","34.65","25.23","10.81B","27.81%"
"10/01/2021","25.57","20.75","25.71","19.55","4.97B","23.41%"
"09/01/2021","20.72","22.48","22.99","20.47","5.00B","-7.46%"
"08/01/2021","22.39","19.70","23.04","18.76","6.42B","14.82%"